Fuel,Metering Arrangement,Charge Type,Payment Method,Region,Period,Cost Value
Electricity,Single-Rate,Standing Charge,DD,Yorkshire,July 2025 - September 2025,195.86646570267686
Electricity,Single-Rate,Standing Charge,DD,Yorkshire,October 2025 - December 2025,203.86846167105
Electricity,Single-Rate,Standing Charge,DD,Yorkshire,January 2026 - March 2026,207.5903174441849
Electricity,Single-Rate,Standing Charge,DD,Yorkshire,April 2026 - June 2026,223.85245447740294
Electricity,Single-Rate,Standing Charge,DD,Yorkshire,July 2026 - September 2026,223.78925855553467
Electricity,Single-Rate,Standing Charge,DD,Northern Scotland,October 2022 - December 2022,177.54
Electricity,Single-Rate,Standing Charge,DD,Northern Scotland,January 2023 - March 2023,177.54
Electricity,Single-Rate,Standing Charge,DD,Northern Scotland,April 2023 - June 2023,205.02
Electricity,Single-Rate,Standing Charge,DD,Northern Scotland,July 2023 - September 2023,205.02
Electricity,Single-Rate,Standing Charge,DD,Northern Scotland,October 2023 - December 2023,206.48
Electricity,Single-Rate,Standing Charge,DD,Northern Scotland,January 2024 - March 2024,206.4
Electricity,Single-Rate,Standing Charge,DD,Northern Scotland,April 2024 - June 2024,212.376459098137
Electricity,Single-Rate,Standing Charge,DD,Northern Scotland,July 2024 - September 2024,212.4556039317643
Electricity,Single-Rate,Standing Charge,DD,Northern Scotland,October 2024 - December 2024,215.46497560833114
Electricity,Single-Rate,Standing Charge,DD,Northern Scotland,January 2025 - March 2025,215.41215569907487
Electricity,Single-Rate,Standing Charge,DD,Northern Scotland,April 2025 - June 2025,211.60067422569995
Electricity,Single-Rate,Standing Charge,DD,Northern Scotland,July 2025 - September 2025,204.0290049438185
Electricity,Single-Rate,Standing Charge,DD,Northern Scotland,October 2025 - December 2025,212.0377131493052
Electricity,Single-Rate,Standing Charge,DD,Northern Scotland,January 2026 - March 2026,215.75282648573892
Electricity,Single-Rate,Standing Charge,DD,Northern Scotland,April 2026 - June 2026,200.10522563147467
Electricity,Single-Rate,Standing Charge,DD,Northern Scotland,July 2026 - September 2026,200.0382275603482
Electricity,Single-Rate,Standing Charge,DD,Southern,October 2022 - December 2022,154.39
Electricity,Single-Rate,Standing Charge,DD,Southern,January 2023 - March 2023,154.39
Electricity,Single-Rate,Standing Charge,DD,Southern,April 2023 - June 2023,172.41
Electricity,Single-Rate,Standing Charge,DD,Southern,July 2023 - September 2023,172.41
Electricity,Single-Rate,Standing Charge,DD,Southern,October 2023 - December 2023,173.76
Electricity,Single-Rate,Standing Charge,DD,Southern,January 2024 - March 2024,173.69
Electricity,Single-Rate,Standing Charge,DD,Southern,April 2024 - June 2024,220.1461282925439
Electricity,Single-Rate,Standing Charge,DD,Southern,July 2024 - September 2024,220.2501926378915
Electricity,Single-Rate,Standing Charge,DD,Southern,October 2024 - December 2024,223.44810099687794
Electricity,Single-Rate,Standing Charge,DD,Southern,January 2025 - March 2025,223.39823082366922
Electricity,Single-Rate,Standing Charge,DD,Southern,April 2025 - June 2025,156.86580574991436
Electricity,Single-Rate,Standing Charge,DD,Southern,July 2025 - September 2025,147.05631995478646
Electricity,Single-Rate,Standing Charge,DD,Southern,October 2025 - December 2025,155.11506936567227
Electricity,Single-Rate,Standing Charge,DD,Southern,January 2026 - March 2026,158.8676864669497
Electricity,Single-Rate,Standing Charge,DD,Southern,April 2026 - June 2026,172.77671357785627
Electricity,Single-Rate,Standing Charge,DD,Southern,July 2026 - September 2026,172.77261637938116
Electricity,Single-Rate,Standing Charge,DD,Southern Scotland,October 2022 - December 2022,176.12
Electricity,Single-Rate,Standing Charge,DD,Southern Scotland,January 2023 - March 2023,176.12
Electricity,Single-Rate,Standing Charge,DD,Southern Scotland,April 2023 - June 2023,214.37
Electricity,Single-Rate,Standing Charge,DD,Southern Scotland,July 2023 - September 2023,214.37
Electricity,Single-Rate,Standing Charge,DD,Southern Scotland,October 2023 - December 2023,215.87
Electricity,Single-Rate,Standing Charge,DD,Southern Scotland,January 2024 - March 2024,215.8
Electricity,Single-Rate,Standing Charge,DD,Southern Scotland,April 2024 - June 2024,220.07258154510134
Electricity,Single-Rate,Standing Charge,DD,Southern Scotland,July 2024 - September 2024,220.1407314308181
Electricity,Single-Rate,Standing Charge,DD,Southern Scotland,October 2024 - December 2024,223.07909308999965
Electricity,Single-Rate,Standing Charge,DD,Southern Scotland,January 2025 - March 2025,223.02638434079478
Electricity,Single-Rate,Standing Charge,DD,Southern Scotland,April 2025 - June 2025,196.4140854920889
Electricity,Single-Rate,Standing Charge,DD,Southern Scotland,July 2025 - September 2025,188.60389827091086
Electricity,Single-Rate,Standing Charge,DD,Southern Scotland,October 2025 - December 2025,196.58177224096428
Electricity,Single-Rate,Standing Charge,DD,Southern Scotland,January 2026 - March 2026,200.29854681741816
Electricity,Single-Rate,Standing Charge,DD,Southern Scotland,April 2026 - June 2026,223.16185754610746
Electricity,Single-Rate,Standing Charge,DD,Southern Scotland,July 2026 - September 2026,223.0841908402237
Electricity,Single-Rate,Standing Charge,DD,N Wales and Mersey,October 2022 - December 2022,168.93
Electricity,Single-Rate,Standing Charge,DD,N Wales and Mersey,January 2023 - March 2023,168.93
Electricity,Single-Rate,Standing Charge,DD,N Wales and Mersey,April 2023 - June 2023,214.9
Electricity,Single-Rate,Standing Charge,DD,N Wales and Mersey,July 2023 - September 2023,214.9
Electricity,Single-Rate,Standing Charge,DD,N Wales and Mersey,October 2023 - December 2023,216.31
Electricity,Single-Rate,Standing Charge,DD,N Wales and Mersey,January 2024 - March 2024,216.24
Electricity,Single-Rate,Standing Charge,DD,N Wales and Mersey,April 2024 - June 2024,233.05067076644414
Electricity,Single-Rate,Standing Charge,DD,N Wales and Mersey,July 2024 - September 2024,233.08603870161872
Electricity,Single-Rate,Standing Charge,DD,N Wales and Mersey,October 2024 - December 2024,235.99961016623632
Electricity,Single-Rate,Standing Charge,DD,N Wales and Mersey,January 2025 - March 2025,235.94991263907087
Electricity,Single-Rate,Standing Charge,DD,N Wales and Mersey,April 2025 - June 2025,241.72536381683227
Electricity,Single-Rate,Standing Charge,DD,N Wales and Mersey,July 2025 - September 2025,235.18412607444964
Electricity,Single-Rate,Standing Charge,DD,N Wales and Mersey,October 2025 - December 2025,243.14991079546135
Electricity,Single-Rate,Standing Charge,DD,N Wales and Mersey,January 2026 - March 2026,246.85339325357486
Electricity,Single-Rate,Standing Charge,DD,N Wales and Mersey,April 2026 - June 2026,246.04067805380353
Electricity,Single-Rate,Standing Charge,DD,N Wales and Mersey,July 2026 - September 2026,245.96613450238283
Electricity,Single-Rate,Standing Charge,DD,London,October 2022 - December 2022,115.26
Electricity,Single-Rate,Standing Charge,DD,London,January 2023 - March 2023,115.26
Electricity,Single-Rate,Standing Charge,DD,London,April 2023 - June 2023,132.73
Electricity,Single-Rate,Standing Charge,DD,London,July 2023 - September 2023,132.73
Electricity,Single-Rate,Standing Charge,DD,London,October 2023 - December 2023,133.89
Electricity,Single-Rate,Standing Charge,DD,London,January 2024 - March 2024,133.84
Electricity,Single-Rate,Standing Charge,DD,London,April 2024 - June 2024,141.78779821751604
Electricity,Single-Rate,Standing Charge,DD,London,July 2024 - September 2024,141.79682409022777
Electricity,Single-Rate,Standing Charge,DD,London,October 2024 - December 2024,144.57482031444655
Electricity,Single-Rate,Standing Charge,DD,London,January 2025 - March 2025,144.49436747044786
Electricity,Single-Rate,Standing Charge,DD,London,April 2025 - June 2025,160.58967592180105
Electricity,Single-Rate,Standing Charge,DD,London,July 2025 - September 2025,152.10690282054654
Electricity,Single-Rate,Standing Charge,DD,London,October 2025 - December 2025,160.0960806995229
Electricity,Single-Rate,Standing Charge,DD,London,January 2026 - March 2026,163.7589468611062
Electricity,Single-Rate,Standing Charge,DD,London,April 2026 - June 2026,155.84561934260833
Electricity,Single-Rate,Standing Charge,DD,London,July 2026 - September 2026,155.68440733285925
Electricity,Single-Rate,Standing Charge,DD,South East,October 2022 - December 2022,148.36
Electricity,Single-Rate,Standing Charge,DD,South East,January 2023 - March 2023,148.36
Electricity,Single-Rate,Standing Charge,DD,South East,April 2023 - June 2023,164.11
Electricity,Single-Rate,Standing Charge,DD,South East,July 2023 - September 2023,164.11
Electricity,Single-Rate,Standing Charge,DD,South East,October 2023 - December 2023,165.4
Electricity,Single-Rate,Standing Charge,DD,South East,January 2024 - March 2024,165.33
Electricity,Single-Rate,Standing Charge,DD,South East,April 2024 - June 2024,197.80425913307096
Electricity,Single-Rate,Standing Charge,DD,South East,July 2024 - September 2024,197.90368374626183
Electricity,Single-Rate,Standing Charge,DD,South East,October 2024 - December 2024,201.0647564671294
Electricity,Single-Rate,Standing Charge,DD,South East,January 2025 - March 2025,201.02865267024075
Electricity,Single-Rate,Standing Charge,DD,South East,April 2025 - June 2025,166.94877202064106
Electricity,Single-Rate,Standing Charge,DD,South East,July 2025 - September 2025,157.41043891192254
Electricity,Single-Rate,Standing Charge,DD,South East,October 2025 - December 2025,165.44669373977572
Electricity,Single-Rate,Standing Charge,DD,South East,January 2026 - March 2026,169.15828327272976
Electricity,Single-Rate,Standing Charge,DD,South East,April 2026 - June 2026,189.2706812149403
Electricity,Single-Rate,Standing Charge,DD,South East,July 2026 - September 2026,189.2664253246997
Electricity,Single-Rate,Standing Charge,DD,Eastern,October 2022 - December 2022,135.35
Electricity,Single-Rate,Standing Charge,DD,Eastern,January 2023 - March 2023,135.35
Electricity,Single-Rate,Standing Charge,DD,Eastern,April 2023 - June 2023,151.76
Electricity,Single-Rate,Standing Charge,DD,Eastern,July 2023 - September 2023,151.76
Electricity,Single-Rate,Standing Charge,DD,Eastern,October 2023 - December 2023,153.02
Electricity,Single-Rate,Standing Charge,DD,Eastern,January 2024 - March 2024,152.96
Electricity,Single-Rate,Standing Charge,DD,Eastern,April 2024 - June 2024,173.5222803169343
Electricity,Single-Rate,Standing Charge,DD,Eastern,July 2024 - September 2024,173.5913618767336
Electricity,Single-Rate,Standing Charge,DD,Eastern,October 2024 - December 2024,176.74006001480308
Electricity,Single-Rate,Standing Charge,DD,Eastern,January 2025 - March 2025,176.71618923836016
Electricity,Single-Rate,Standing Charge,DD,Eastern,April 2025 - June 2025,169.09858753260033
Electricity,Single-Rate,Standing Charge,DD,Eastern,July 2025 - September 2025,159.68298001455707
Electricity,Single-Rate,Standing Charge,DD,Eastern,October 2025 - December 2025,167.73218321356475
Electricity,Single-Rate,Standing Charge,DD,Eastern,January 2026 - March 2026,171.47605046664222
Electricity,Single-Rate,Standing Charge,DD,Eastern,April 2026 - June 2026,187.5294059479035
Electricity,Single-Rate,Standing Charge,DD,Eastern,July 2026 - September 2026,187.52350112267544
Electricity,Single-Rate,Standing Charge,DD,East Midlands,October 2022 - December 2022,159.1
Electricity,Single-Rate,Standing Charge,DD,East Midlands,January 2023 - March 2023,159.1
Electricity,Single-Rate,Standing Charge,DD,East Midlands,April 2023 - June 2023,174.88
Electricity,Single-Rate,Standing Charge,DD,East Midlands,July 2023 - September 2023,174.88
Electricity,Single-Rate,Standing Charge,DD,East Midlands,October 2023 - December 2023,176.27
Electricity,Single-Rate,Standing Charge,DD,East Midlands,January 2024 - March 2024,176.2
Electricity,Single-Rate,Standing Charge,DD,East Midlands,April 2024 - June 2024,194.66765058416283
Electricity,Single-Rate,Standing Charge,DD,East Midlands,July 2024 - September 2024,194.72525957691278
Electricity,Single-Rate,Standing Charge,DD,East Midlands,October 2024 - December 2024,197.80156401319226
Electricity,Single-Rate,Standing Charge,DD,East Midlands,January 2025 - March 2025,197.76258260846177
Electricity,Single-Rate,Standing Charge,DD,East Midlands,April 2025 - June 2025,171.67147967442475
Electricity,Single-Rate,Standing Charge,DD,East Midlands,July 2025 - September 2025,162.59623902690853
Electricity,Single-Rate,Standing Charge,DD,East Midlands,October 2025 - December 2025,170.63293902639222
Electricity,Single-Rate,Standing Charge,DD,East Midlands,January 2026 - March 2026,174.40497811762393
Electricity,Single-Rate,Standing Charge,DD,East Midlands,April 2026 - June 2026,186.35332206623883
Electricity,Single-Rate,Standing Charge,DD,East Midlands,July 2026 - September 2026,186.3251520149513
Electricity,Single-Rate,Standing Charge,DD,Midlands,October 2022 - December 2022,170.84
Electricity,Single-Rate,Standing Charge,DD,Midlands,January 2023 - March 2023,170.84
Electricity,Single-Rate,Standing Charge,DD,Midlands,April 2023 - June 2023,187.59
Electricity,Single-Rate,Standing Charge,DD,Midlands,July 2023 - September 2023,187.59
Electricity,Single-Rate,Standing Charge,DD,Midlands,October 2023 - December 2023,189.02
Electricity,Single-Rate,Standing Charge,DD,Midlands,January 2024 - March 2024,188.95
Electricity,Single-Rate,Standing Charge,DD,Midlands,April 2024 - June 2024,218.04558589005364
Electricity,Single-Rate,Standing Charge,DD,Midlands,July 2024 - September 2024,218.1150816566929
Electricity,Single-Rate,Standing Charge,DD,Midlands,October 2024 - December 2024,221.14112438380533
Electricity,Single-Rate,Standing Charge,DD,Midlands,January 2025 - March 2025,221.0970905666784
Electricity,Single-Rate,Standing Charge,DD,Midlands,April 2025 - June 2025,184.71073162840773
Electricity,Single-Rate,Standing Charge,DD,Midlands,July 2025 - September 2025,176.2236154644472
Electricity,Single-Rate,Standing Charge,DD,Midlands,October 2025 - December 2025,184.24402412547062
Electricity,Single-Rate,Standing Charge,DD,Midlands,January 2026 - March 2026,188.00367703315618
Electricity,Single-Rate,Standing Charge,DD,Midlands,April 2026 - June 2026,207.61388581400956
Electricity,Single-Rate,Standing Charge,DD,Midlands,July 2026 - September 2026,207.57203114873153
Electricity,Single-Rate,Standing Charge,DD,Southern Western,October 2022 - December 2022,183
Electricity,Single-Rate,Standing Charge,DD,Southern Western,January 2023 - March 2023,183
Electricity,Single-Rate,Standing Charge,DD,Southern Western,April 2023 - June 2023,202.59
Electricity,Single-Rate,Standing Charge,DD,Southern Western,July 2023 - September 2023,202.59
Electricity,Single-Rate,Standing Charge,DD,Southern Western,October 2023 - December 2023,204.04
Electricity,Single-Rate,Standing Charge,DD,Southern Western,January 2024 - March 2024,203.97
Electricity,Single-Rate,Standing Charge,DD,Southern Western,April 2024 - June 2024,233.54979372663192
Electricity,Single-Rate,Standing Charge,DD,Southern Western,July 2024 - September 2024,233.65034451588696
Electricity,Single-Rate,Standing Charge,DD,Southern Western,October 2024 - December 2024,236.8015366685983
Electricity,Single-Rate,Standing Charge,DD,Southern Western,January 2025 - March 2025,236.75431367010975
Electricity,Single-Rate,Standing Charge,DD,Southern Western,April 2025 - June 2025,188.6355335990703
Electricity,Single-Rate,Standing Charge,DD,Southern Western,July 2025 - September 2025,179.79440814177357
Electricity,Single-Rate,Standing Charge,DD,Southern Western,October 2025 - December 2025,187.82734571002783
Electricity,Single-Rate,Standing Charge,DD,Southern Western,January 2026 - March 2026,191.5621442161177
Electricity,Single-Rate,Standing Charge,DD,Southern Western,April 2026 - June 2026,201.2800210397679
Electricity,Single-Rate,Standing Charge,DD,Southern Western,July 2026 - September 2026,201.23972288415615
Electricity,Single-Rate,Standing Charge,DD,South Wales,October 2022 - December 2022,170.92
Electricity,Single-Rate,Standing Charge,DD,South Wales,January 2023 - March 2023,170.92
Electricity,Single-Rate,Standing Charge,DD,South Wales,April 2023 - June 2023,187.11
Electricity,Single-Rate,Standing Charge,DD,South Wales,July 2023 - September 2023,187.11
Electricity,Single-Rate,Standing Charge,DD,South Wales,October 2023 - December 2023,188.5
Electricity,Single-Rate,Standing Charge,DD,South Wales,January 2024 - March 2024,188.43
Electricity,Single-Rate,Standing Charge,DD,South Wales,April 2024 - June 2024,219.89305730669065
Electricity,Single-Rate,Standing Charge,DD,South Wales,July 2024 - September 2024,219.9420785645363
Electricity,Single-Rate,Standing Charge,DD,South Wales,October 2024 - December 2024,222.8896131507817
Electricity,Single-Rate,Standing Charge,DD,South Wales,January 2025 - March 2025,222.82090897701224
Electricity,Single-Rate,Standing Charge,DD,South Wales,April 2025 - June 2025,180.02155028391869
Electricity,Single-Rate,Standing Charge,DD,South Wales,July 2025 - September 2025,171.6653579645747
Electricity,Single-Rate,Standing Charge,DD,South Wales,October 2025 - December 2025,179.67834228103982
Electricity,Single-Rate,Standing Charge,DD,South Wales,January 2026 - March 2026,183.36701365341858
Electricity,Single-Rate,Standing Charge,DD,South Wales,April 2026 - June 2026,201.1405451168431
Electricity,Single-Rate,Standing Charge,DD,South Wales,July 2026 - September 2026,201.07385649668146
Electricity,Multi-Register,Standing Charge,DD,North West,October 2022 - December 2022,150.7
Electricity,Multi-Register,Standing Charge,DD,North West,January 2023 - March 2023,150.7
Electricity,Multi-Register,Standing Charge,DD,North West,April 2023 - June 2023,179.06
Electricity,Multi-Register,Standing Charge,DD,North West,July 2023 - September 2023,179.06
Electricity,Multi-Register,Standing Charge,DD,North West,October 2023 - December 2023,180.09
Electricity,Multi-Register,Standing Charge,DD,North West,January 2024 - March 2024,180.03
Electricity,Multi-Register,Standing Charge,DD,North West,April 2024 - June 2024,177.32499210928432
Electricity,Multi-Register,Standing Charge,DD,North West,July 2024 - September 2024,177.19493407461175
Electricity,Multi-Register,Standing Charge,DD,North West,October 2024 - December 2024,180.10214711698666
Electricity,Multi-Register,Standing Charge,DD,North West,January 2025 - March 2025,179.8795446540505
Electricity,Multi-Register,Standing Charge,DD,North West,April 2025 - June 2025,177.26146480717514
Electricity,Multi-Register,Standing Charge,DD,North West,July 2025 - September 2025,167.89826850556332
Electricity,Multi-Register,Standing Charge,DD,North West,October 2025 - December 2025,175.76922118419714
Electricity,Multi-Register,Standing Charge,DD,North West,January 2026 - March 2026,178.9839270687237
Electricity,Multi-Register,Standing Charge,DD,North West,April 2026 - June 2026,163.1039764070075
Electricity,Multi-Register,Standing Charge,DD,North West,July 2026 - September 2026,163.00674339163137
Electricity,Multi-Register,Standing Charge,DD,Northern,October 2022 - December 2022,173.89
Electricity,Multi-Register,Standing Charge,DD,Northern,January 2023 - March 2023,173.89
Electricity,Multi-Register,Standing Charge,DD,Northern,April 2023 - June 2023,198.58
Electricity,Multi-Register,Standing Charge,DD,Northern,July 2023 - September 2023,198.58
Electricity,Multi-Register,Standing Charge,DD,Northern,October 2023 - December 2023,199.67
Electricity,Multi-Register,Standing Charge,DD,Northern,January 2024 - March 2024,199.6
Electricity,Multi-Register,Standing Charge,DD,Northern,April 2024 - June 2024,246.58820605583955
Electricity,Multi-Register,Standing Charge,DD,Northern,July 2024 - September 2024,246.48860436657762
Electricity,Multi-Register,Standing Charge,DD,Northern,October 2024 - December 2024,249.51200716691133
Electricity,Multi-Register,Standing Charge,DD,Northern,January 2025 - March 2025,249.29657060439936
Electricity,Multi-Register,Standing Charge,DD,Northern,April 2025 - June 2025,206.62130548369421
Electricity,Multi-Register,Standing Charge,DD,Northern,July 2025 - September 2025,197.81209555078908
Electricity,Multi-Register,Standing Charge,DD,Northern,October 2025 - December 2025,205.68645982081952
Electricity,Multi-Register,Standing Charge,DD,Northern,January 2026 - March 2026,209.0491369315713
Electricity,Multi-Register,Standing Charge,DD,Northern,April 2026 - June 2026,220.75190338039883
Electricity,Multi-Register,Standing Charge,DD,Northern,July 2026 - September 2026,220.70300407370036
Electricity,Multi-Register,Standing Charge,DD,Yorkshire,October 2022 - December 2022,172.54
Electricity,Multi-Register,Standing Charge,DD,Yorkshire,January 2023 - March 2023,172.54
Electricity,Multi-Register,Standing Charge,DD,Yorkshire,April 2023 - June 2023,193.61
Electricity,Multi-Register,Standing Charge,DD,Yorkshire,July 2023 - September 2023,193.61
Electricity,Multi-Register,Standing Charge,DD,Yorkshire,October 2023 - December 2023,194.69
Electricity,Multi-Register,Standing Charge,DD,Yorkshire,January 2024 - March 2024,194.62
Electricity,Multi-Register,Standing Charge,DD,Yorkshire,April 2024 - June 2024,234.28344400552817
Electricity,Multi-Register,Standing Charge,DD,Yorkshire,July 2024 - September 2024,234.20107572859234
Electricity,Multi-Register,Standing Charge,DD,Yorkshire,October 2024 - December 2024,236.99538650609546
Electricity,Multi-Register,Standing Charge,DD,Yorkshire,January 2025 - March 2025,236.69260447026852
Electricity,Multi-Register,Standing Charge,DD,Yorkshire,April 2025 - June 2025,202.94303497384396
Electricity,Multi-Register,Standing Charge,DD,Yorkshire,July 2025 - September 2025,194.2419180152797
Electricity,Multi-Register,Standing Charge,DD,Yorkshire,October 2025 - December 2025,202.0341210235669
Electricity,Multi-Register,Standing Charge,DD,Yorkshire,January 2026 - March 2026,205.25658807825957
Electricity,Multi-Register,Standing Charge,DD,Yorkshire,April 2026 - June 2026,221.52242018572724
Electricity,Multi-Register,Standing Charge,DD,Yorkshire,July 2026 - September 2026,221.42704125471
Electricity,Multi-Register,Standing Charge,DD,Northern Scotland,October 2022 - December 2022,177.85
Electricity,Multi-Register,Standing Charge,DD,Northern Scotland,January 2023 - March 2023,177.85
Electricity,Multi-Register,Standing Charge,DD,Northern Scotland,April 2023 - June 2023,205.35
Electricity,Multi-Register,Standing Charge,DD,Northern Scotland,July 2023 - September 2023,205.35
Electricity,Multi-Register,Standing Charge,DD,Northern Scotland,October 2023 - December 2023,206.41
Electricity,Multi-Register,Standing Charge,DD,Northern Scotland,January 2024 - March 2024,206.35
Electricity,Multi-Register,Standing Charge,DD,Northern Scotland,April 2024 - June 2024,216.3763071191507
Electricity,Multi-Register,Standing Charge,DD,Northern Scotland,July 2024 - September 2024,216.26891084374014
Electricity,Multi-Register,Standing Charge,DD,Northern Scotland,October 2024 - December 2024,218.751547906776
Electricity,Multi-Register,Standing Charge,DD,Northern Scotland,January 2025 - March 2025,218.51731944932442
Electricity,Multi-Register,Standing Charge,DD,Northern Scotland,April 2025 - June 2025,214.3893143007085
Electricity,Multi-Register,Standing Charge,DD,Northern Scotland,July 2025 - September 2025,207.7829405264734
Electricity,Multi-Register,Standing Charge,DD,Northern Scotland,October 2025 - December 2025,215.35639177795557
Electricity,Multi-Register,Standing Charge,DD,Northern Scotland,January 2026 - March 2026,218.6300737877723
Electricity,Multi-Register,Standing Charge,DD,Northern Scotland,April 2026 - June 2026,202.59039950197055
Electricity,Multi-Register,Standing Charge,DD,Northern Scotland,July 2026 - September 2026,202.3031183492462
Electricity,Multi-Register,Standing Charge,DD,Southern,October 2022 - December 2022,154.7
Electricity,Multi-Register,Standing Charge,DD,Southern,January 2023 - March 2023,154.7
Electricity,Multi-Register,Standing Charge,DD,Southern,April 2023 - June 2023,172.74
Electricity,Multi-Register,Standing Charge,DD,Southern,July 2023 - September 2023,172.74
Electricity,Multi-Register,Standing Charge,DD,Southern,October 2023 - December 2023,173.74
Electricity,Multi-Register,Standing Charge,DD,Southern,January 2024 - March 2024,173.68
Electricity,Multi-Register,Standing Charge,DD,Southern,April 2024 - June 2024,221.50238689976933
Electricity,Multi-Register,Standing Charge,DD,Southern,July 2024 - September 2024,221.42523944589357
Electricity,Multi-Register,Standing Charge,DD,Southern,October 2024 - December 2024,224.3278438698585
Electricity,Multi-Register,Standing Charge,DD,Southern,January 2025 - March 2025,224.10726053670464
Electricity,Multi-Register,Standing Charge,DD,Southern,April 2025 - June 2025,157.51099849978814
Electricity,Multi-Register,Standing Charge,DD,Southern,July 2025 - September 2025,147.76121775135755
Electricity,Multi-Register,Standing Charge,DD,Southern,October 2025 - December 2025,155.66722482518975
Electricity,Multi-Register,Standing Charge,DD,Southern,January 2026 - March 2026,158.94624166746186
Electricity,Multi-Register,Standing Charge,DD,Southern,April 2026 - June 2026,172.73944382607448
Electricity,Multi-Register,Standing Charge,DD,Southern,July 2026 - September 2026,172.652727255502
Electricity,Multi-Register,Standing Charge,DD,Southern Scotland,October 2022 - December 2022,176.43
Electricity,Multi-Register,Standing Charge,DD,Southern Scotland,January 2023 - March 2023,176.43
Electricity,Multi-Register,Standing Charge,DD,Southern Scotland,April 2023 - June 2023,214.7
Electricity,Multi-Register,Standing Charge,DD,Southern Scotland,July 2023 - September 2023,214.7
Electricity,Multi-Register,Standing Charge,DD,Southern Scotland,October 2023 - December 2023,215.8
Electricity,Multi-Register,Standing Charge,DD,Southern Scotland,January 2024 - March 2024,215.72
